2025-07-09 19:43:58 [INFO]: Loading Overrides...
2025-07-09 19:43:58 [INFO]: Loading World Types...
2025-07-09 19:43:58 [INFO]: - World Type for 'world' set to 'NORMAL'
2025-07-09 19:43:58 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2025-07-09 19:43:58 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2025-07-09 19:43:58 [INFO]: Loading Defaults...
2025-07-09 19:43:58 [INFO]: Loading Custom Worlds...
2025-07-09 19:43:58 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2025-07-09 19:43:58 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2025-07-09 19:44:02 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2025-07-09 19:44:02 [INFO]: Database COOLDOWN:world configured and loaded!
2025-07-09 19:44:02 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2025-07-09 19:44:02 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2025-07-09 19:44:02 [INFO]: Database QUEUE:Queue configured and loaded!
2025-07-09 19:44:02 [INFO]: Database PLAYERS:Players configured and loaded!
2025-07-09 19:44:03 [INFO]: Attempting to queue up some more safe locations...
2025-07-09 19:44:05 [INFO]: Queue position generated: id= default_world, database_ID= 1, location= x: -511, y: 63, z: -183, world: world
2025-07-09 19:44:09 [INFO]: Queue position generated: id= default_world, database_ID= 2, location= x: 58, y: 120, z: -761, world: world
2025-07-09 19:44:10 [INFO]: Queue position generated: id= default_world, database_ID= 3, location= x: 214, y: 102, z: 115, world: world
2025-07-09 19:44:11 [INFO]: Queue position generated: id= default_world, database_ID= 4, location= x: -318, y: 91, z: 217, world: world
2025-07-09 19:44:14 [INFO]: Queue position generated: id= default_world, database_ID= 5, location= x: -26, y: 110, z: -130, world: world
2025-07-09 19:44:16 [INFO]: Queue position generated: id= default_world, database_ID= 6, location= x: 976, y: 87, z: -843, world: world
2025-07-09 19:44:19 [INFO]: Queue position generated: id= default_world, database_ID= 7, location= x: -561, y: 103, z: 731, world: world
2025-07-09 19:44:21 [INFO]: Queue position generated: id= default_world, database_ID= 8, location= x: 124, y: 106, z: 108, world: world
2025-07-09 19:44:25 [INFO]: Queue position generated: id= default_world, database_ID= 9, location= x: 552, y: 94, z: 494, world: world
2025-07-09 19:44:26 [INFO]: Queue position generated: id= default_world, database_ID= 10, location= x: -738, y: 72, z: -371, world: world
2025-07-09 19:44:27 [INFO]: Queue position generated: id= default_world, database_ID= 11, location= x: 179, y: 136, z: 307, world: world
2025-07-09 19:44:28 [INFO]: Queue position generated: id= default_world, database_ID= 12, location= x: -470, y: 71, z: -556, world: world
2025-07-09 19:44:31 [INFO]: Queue position generated: id= default_world, database_ID= 13, location= x: 460, y: 102, z: 525, world: world
2025-07-09 19:44:32 [INFO]: Queue position generated: id= default_world, database_ID= 14, location= x: -743, y: 80, z: -308, world: world
2025-07-09 19:44:36 [INFO]: Queue position generated: id= default_world, database_ID= 15, location= x: -341, y: 91, z: -355, world: world
2025-07-09 19:44:39 [INFO]: Queue position generated: id= default_world, database_ID= 16, location= x: 226, y: 158, z: 366, world: world
2025-07-09 19:44:42 [INFO]: Queue position generated: id= default_world, database_ID= 17, location= x: 483, y: 136, z: -644, world: world
2025-07-09 19:44:43 [INFO]: Queue position generated: id= default_world, database_ID= 18, location= x: -731, y: 82, z: -842, world: world
2025-07-09 19:44:45 [INFO]: Queue position generated: id= default_world, database_ID= 19, location= x: 889, y: 110, z: -808, world: world
2025-07-09 19:44:48 [INFO]: Queue position generated: id= default_world, database_ID= 20, location= x: 632, y: 116, z: 581, world: world
2025-07-09 19:44:53 [INFO]: Queue position generated: id= default_world, database_ID= 21, location= x: 629, y: 65, z: 414, world: world
2025-07-09 19:44:56 [INFO]: Queue position generated: id= default_world, database_ID= 22, location= x: 74, y: 86, z: -289, world: world
2025-07-09 19:44:57 [INFO]: Queue position generated: id= default_world, database_ID= 23, location= x: 136, y: 97, z: 497, world: world
2025-07-09 19:45:00 [INFO]: Queue position generated: id= default_world, database_ID= 24, location= x: 419, y: 93, z: -585, world: world
2025-07-09 19:45:03 [INFO]: Queue position generated: id= default_world, database_ID= 25, location= x: 532, y: 79, z: -921, world: world
2025-07-09 19:45:04 [INFO]: Queue position generated: id= default_world, database_ID= 26, location= x: -387, y: 75, z: -521, world: world
2025-07-09 19:45:05 [INFO]: Queue position generated: id= default_world, database_ID= 27, location= x: -114, y: 94, z: -75, world: world
2025-07-09 19:45:09 [INFO]: Queue position generated: id= default_world, database_ID= 28, location= x: -484, y: 101, z: 930, world: world
2025-07-09 19:45:10 [INFO]: Queue position generated: id= default_world, database_ID= 29, location= x: -49, y: 69, z: -254, world: world
2025-07-09 19:45:12 [INFO]: Queue position generated: id= default_world, database_ID= 30, location= x: -366, y: 67, z: 760, world: world
2025-07-09 19:45:18 [INFO]: Queue position generated: id= default_world, database_ID= 31, location= x: -149, y: 72, z: 313, world: world
2025-07-09 19:45:19 [INFO]: Queue position generated: id= default_world, database_ID= 32, location= x: -690, y: 69, z: 455, world: world
2025-07-09 19:45:20 [INFO]: Max queue reached for default_world (amount: 32) lastCount: 0
